#1.0 Global and overview maps
hsa01200	Carbon metabolism
hsa04260	Cardiac muscle contraction
hsa04261	Adrenergic signaling in cardiomyocytes
hsa04270	Vascular smooth muscle contraction

#5.4 Digestive system
hsa04970	Salivary secretion
hsa04971	Gastric acid secretion
hsa04972	Pancreatic secretion
hsa04976	Bile secretion
hsa04973	Carbohydrate digestion and absorption
hsa04974	Protein digestion and absorption
hsa04975	Fat digestion and absorption
hsa04977	Vitamin digestion and absorption
hsa04978	Mineral absorption

#5.5 Excretory system
hsa04962	Vasopressin-regulated water reabsorption
hsa04960	Aldosterone-regulated sodium reabsorption
hsa04961	Endocrine and other factor-regulated calcium reabsorption
hsa04964	Proximal tubule bicarbonate reclamation
hsa04966	Collecting duct acid secretion

#5.6 Nervous system
hsa04724	Glutamatergic synapse
hsa04727	GABAergic synapse
hsa04725	Cholinergic synapse
hsa04728	Dopaminergic synapse
hsa04726	Serotonergic synapse
hsa04720	Long-term potentiation
hsa04730	Long-term depression
hsa04723	Retrograde endocannabinoid signaling
hsa04721	Synaptic vesicle cycle
hsa04722	Neurotrophin signaling pathway

#5.7 Sensory system
hsa04744	Phototransduction
hsa04740	Olfactory transduction
hsa04742	Taste transduction
hsa04750	Inflammatory mediator regulation of TRP channels

#5.8 Development
hsa04360	Axon guidance
hsa04380	Osteoclast differentiation

#5.9 Aging
hsa04211	Longevity regulating pathway
hsa04213	Longevity regulating pathway

#5.10 Environmental adaptation
hsa04710	Circadian rhythm
hsa04713	Circadian entrainment

#6.1 Cancers: Overview
hsa05200	Pathways in cancer
hsa05230	Central carbon metabolism in cancer
hsa05231	Choline metabolism in cancer
hsa05202	Transcriptional misregulation in cancer
hsa05206	MicroRNAs in cancer
hsa05205	Proteoglycans in cancer
hsa05204	Chemical carcinogenesis
hsa05203	Viral carcinogenesis

#6.2 Cancers: Specific types
hsa05210	Colorectal cancer
hsa05212	Pancreatic cancer
hsa05214	Glioma
hsa05216	Thyroid cancer
hsa05221	Acute myeloid leukemia
hsa05220	Chronic myeloid leukemia
hsa05217	Basal cell carcinoma
hsa05218	Melanoma
hsa05211	Renal cell carcinoma
hsa05219	Bladder cancer
hsa05215	Prostate cancer
hsa05213	Endometrial cancer
hsa05222	Small cell lung cancer
hsa05223	Non-small cell lung cancer

#6.3 Immune diseases
hsa05310	Asthma
hsa05322	Systemic lupus erythematosus
hsa05323	Rheumatoid arthritis
hsa05320	Autoimmune thyroid disease
hsa05321	Inflammatory bowel disease (IBD)
hsa05330	Allograft rejection
hsa05332	Graft-versus-host disease
hsa05340	Primary immunodeficiency

#6.4 Neurodegenerative diseases
hsa05010	Alzheimer's disease
hsa05012	Parkinson's disease
hsa05014	Amyotrophic lateral sclerosis (ALS)
hsa05016	Huntington's disease
hsa05020	Prion diseases

#6.5 Substance dependence
hsa05030	Cocaine addiction
hsa05031	Amphetamine addiction
hsa05032	Morphine addiction
hsa05033	Nicotine addiction
hsa05034	Alcoholism

#6.6 Cardiovascular diseases
hsa05410	Hypertrophic cardiomyopathy (HCM)
hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
hsa05414	Dilated cardiomyopathy
hsa05416	Viral myocarditis

#6.7 Endocrine and metabolic diseases
hsa04930	Type II diabetes mellitus
hsa04940	Type I diabetes mellitus
hsa04950	Maturity onset diabetes of the young
hsa04932	Non-alcoholic fatty liver disease (NAFLD)
hsa04931	Insulin resistance
hsa04933	AGE-RAGE signaling pathway in diabetic complications

#6.8 Infectious diseases: Bacterial
hsa05110	Vibrio cholerae infection
hsa05120	Epithelial cell signaling in Helicobacter pylori infection
hsa05130	Pathogenic Escherichia coli infection
hsa05132	Salmonella infection
hsa05131	Shigellosis
hsa05133	Pertussis
hsa05134	Legionellosis
hsa05150	Staphylococcus aureus infection
hsa05152	Tuberculosis
hsa05100	Bacterial invasion of epithelial cells

#6.9 Infectious diseases: Viral
hsa05166	HTLV-I infection
hsa05162	Measles
hsa05164	Influenza A
hsa05161	Hepatitis B
hsa05160	Hepatitis C
hsa05168	Herpes simplex infection
hsa05169	Epstein-Barr virus infection

#6.10 Infectious diseases: Parasitic
hsa05146	Amoebiasis
hsa05144	Malaria
hsa05145	Toxoplasmosis
hsa05140	Leishmaniasis
hsa05142	Chagas disease (American trypanosomiasis)
hsa05143	African trypanosomiasis

